Configuration,Classifier,Repetition,OOFPredictions,TP,FP,TN,FN,Precision,Recall,AUC,Kappa,NPofB20,TotalLOC,BudgetLOC,InspectedLOC,InspectedRows,BuggyFound,TotalBuggy
C2,RandomForest,8,12836,1338,468,10358,672,0.740863787375,0.665671641791,0.943449618709,0.649273276466,0.676119402985,1750165.000000000000,350033.000000000000,350475.000000000000,2899,1359,2010
C2,NaiveBayes,8,12836,695,554,10272,1315,0.556445156125,0.345771144279,0.797044635496,0.348289112785,0.210945273632,1750165.000000000000,350033.000000000000,350190.000000000000,900,424,2010
C2,IBk,8,12836,1297,569,10257,713,0.695069667738,0.645273631841,0.893954139335,0.610524111420,0.612935323383,1750165.000000000000,350033.000000000000,350588.000000000000,2040,1232,2010
C3,RandomForest,8,12836,1596,431,10395,414,0.787370498273,0.794029850746,0.963914562602,0.751629891483,0.691044776119,1750165.000000000000,350033.000000000000,350098.000000000000,3523,1389,2010
C3,NaiveBayes,8,12836,805,770,10056,1205,0.511111111111,0.400497512438,0.806275453510,0.361200900277,0.209950248756,1750165.000000000000,350033.000000000000,350043.000000000000,1050,422,2010
C3,IBk,8,12836,1446,945,9881,564,0.604767879548,0.719402985075,0.829101904113,0.586822412634,0.561194029851,1750165.000000000000,350033.000000000000,350105.000000000000,2009,1128,2010
C4,RandomForest,8,12836,1530,646,10180,480,0.703125000000,0.761194029851,0.942899992923,0.678700344318,0.679601990050,1750165.000000000000,350033.000000000000,350487.000000000000,3109,1366,2010
C4,NaiveBayes,8,12836,757,698,10128,1253,0.520274914089,0.376616915423,0.798051447915,0.351680920709,0.260199004975,1750165.000000000000,350033.000000000000,350622.000000000000,1214,523,2010
C4,IBk,8,12836,1505,809,10017,505,0.650388936906,0.748756218905,0.902445673903,0.634928770597,0.634328358209,1750165.000000000000,350033.000000000000,350623.000000000000,2236,1275,2010
C1,RandomForest,9,12836,1459,271,10555,551,0.843352601156,0.725870646766,0.961713095340,0.742980080892,0.698009950249,1750165.000000000000,350033.000000000000,350293.000000000000,3158,1403,2010
